ORDERNUMBER,QUANTITYORDERED,PRICEEACH,SALES,PRODUCTLINE
10107,30,95.7,2871.0,Motorcycles 
10121,34,81.35,2765.9, Motorcycles
10134,41,94.74,3884.34,Classic Cars
10145,45,83.26,3746.7,Classic Cars
10159,49,100.0,5205.27,Motorcycles
10168,36,96.66,3479.76,Planes
10180,29,86.13,2497.77,Planes
10188,48,98.25,4716.0,Ships
10107,30,95.7,2871.0,Motorcycles 
10121,34,81.35,2765.9, Motorcycles
10134,41,94.74,3884.34,Classic Cars
10145,45,83.26,3746.7,Classic Cars
10159,49,100.0,5205.27,Motorcycles
10168,36,96.66,3479.76,Planes
10180,29,86.13,2497.77,Planes
10188,48,98.25,4716.0,Ships
10107,30,95.7,2871.0,Motorcycles 
10121,34,81.35,2765.9, Motorcycles
10134,41,94.74,3884.34,Classic Cars
10145,45,83.26,3746.7,Classic Cars
10159,49,100.0,5205.27,Motorcycles
10168,36,96.66,3479.76,Planes
10180,29,86.13,2497.77,Planes
10188,48,98.25,4716.0,Ships
10107,30,95.7,2871.0,Motorcycles 
10121,34,81.35,2765.9, Motorcycles
10134,41,94.74,3884.34,Classic Cars
10145,45,83.26,3746.7,Classic Cars
10159,49,100.0,5205.27,Motorcycles
10168,36,96.66,3479.76,Planes
10180,29,86.13,2497.77,Planes
10188,48,98.25,4716.0,Ships
10107,30,95.7,2871.0,Motorcycles 
10121,34,81.35,2765.9, Motorcycles
10134,41,94.74,3884.34,Classic Cars
10145,45,83.26,3746.7,Classic Cars
10159,49,100.0,5205.27,Motorcycles
10168,36,96.66,3479.76,Planes
10180,29,86.13,2497.77,Planes
10188,48,98.25,4716.0,Ships
10107,30,95.7,2871.0,Motorcycles 
10121,34,81.35,2765.9, Motorcycles
10134,41,94.74,3884.34,Classic Cars
10145,45,83.26,3746.7,Classic Cars
10159,49,100.0,5205.27,Motorcycles
10168,36,96.66,3479.76,Planes
10180,29,86.13,2497.77,Planes
10188,48,98.25,4716.0,Ships
10107,30,95.7,2871.0,Motorcycles 
10121,34,81.35,2765.9, Motorcycles
10134,41,94.74,3884.34,Classic Cars
10145,45,83.26,3746.7,Classic Cars
10159,49,100.0,5205.27,Motorcycles
10168,36,96.66,3479.76,Planes
10180,29,86.13,2497.77,Planes
10188,48,98.25,4716.0,Ships
10107,30,95.7,2871.0,Motorcycles 
10121,34,81.35,2765.9, Motorcycles
10134,41,94.74,3884.34,Classic Cars
10145,45,83.26,3746.7,Classic Cars
10159,49,100.0,5205.27,Motorcycles
10168,36,96.66,3479.76,Planes
10180,29,86.13,2497.77,Planes
10188,48,98.25,4716.0,Ships
10107,30,95.7,2871.0,Motorcycles 
10121,34,81.35,2765.9, Motorcycles
10134,41,94.74,3884.34,Classic Cars
10145,45,83.26,3746.7,Classic Cars
10159,49,100.0,5205.27,Motorcycles
10168,36,96.66,3479.76,Planes
10180,29,86.13,2497.77,Planes
10188,48,98.25,4716.0,Ships
10107,30,95.7,2871.0,Motorcycles 
10121,34,81.35,2765.9, Motorcycles
10134,41,94.74,3884.34,Classic Cars
